Candidate_ID,Symbol,Detection_Date,Last_Seen_Date,Expiry_Date,Status,Current_Stage,Breakout_Date,Days_Since_Detection,Days_Remaining
HAL_2026-09-25,HAL,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
HCLTECH_2026-09-25,HCLTECH,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
KOTAKBANK_2026-09-25,KOTAKBANK,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
LGEINDIA_2026-09-25,LGEINDIA,2026-09-25,2026-09-25,2026-10-24,ACTIVE,NEAR BREAKOUT,,0,30
LICHSGFIN_2026-09-25,LICHSGFIN,2026-09-25,2026-09-25,2026-10-24,ACTIVE,NEAR BREAKOUT,,0,30
MOTILALOFS_2026-09-25,MOTILALOFS,2026-09-25,2026-09-25,2026-10-24,ACTIVE,NEAR BREAKOUT,,0,30
PERSISTENT_2026-09-25,PERSISTENT,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
SIEMENS_2026-09-25,SIEMENS,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
TECHM_2026-09-25,TECHM,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
UNIONBANK_2026-09-25,UNIONBANK,2026-09-25,2026-09-25,2026-10-24,ACTIVE,HANDLE DEVELOPING,,0,30
